Platform,Product,Price,Rating,Website
Amazon,HP,"64,990",3.7,Amazon
Amazon,HP,"88,990",4.1,Amazon
Amazon,HP,"73,450",4.1,Amazon
Amazon,HP,"89,990",3.8,Amazon
Amazon,HP,"1,08,990",4.1,Amazon
Amazon,HP,"77,490",3.8,Amazon
Amazon,HP,"64,990",3.8,Amazon
Amazon,HP,"65,900",3.9,Amazon
Amazon,HP,"62,990",3.8,Amazon
Amazon,HP,"75,490",3.4,Amazon
Amazon,HP,"71,990",3.8,Amazon
Amazon,HP,"61,999",3.9,Amazon
Amazon,HP,"84,990",3.9,Amazon
Amazon,HP,"55,050",4.1,Amazon
Amazon,HP,"63,990",5.0,Amazon
Amazon,HP,"77,494",3.8,Amazon
Flipkart,HP Pavilion Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Lig...,"₹73,990",4.3,Flipkart
Flipkart,HP Pavilion Plus Metal Body Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14-EW010...,"₹64,990",4.1,Flipkart
Flipkart,HP Pavilion AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1005AU Thin and Ligh...,"₹59,990",4.2,Flipkart
Flipkart,HP Pavilion AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 14-ec0035AU Thin and Light...,"₹55,600",4.4,Flipkart
Flipkart,HP Pavilion x360 Intel Core i5 13th Gen 1335U - (16 GB/1 TB SSD/Windows 11 Home) 14-ek1010TU 2 in 1 La...,"₹74,490",4.3,Flipkart
Flipkart,HP Pavilion AMD Ryzen 5 Dual Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15-eh1137AU Thin and Light...,"₹51,990",4.5,Flipkart
Flipkart,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,"₹61,490",4.3,Flipkart
Flipkart,HP Pavilion 15 (2024) AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) 15-eh3036AU Thin...,"₹52,599",4,Flipkart
Flipkart,HP Pavilion AMD Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForc...,"₹66,490",4.4,Flipkart
Flipkart,HP Pavilion AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light...,"₹69,990",4.3,Flipkart
Flipkart,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home) 14-dv2153TU Thin and Light...,"₹75,990",4.3,Flipkart
Flipkart,HP Pavilion Intel Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) 15-eg3036TU Thin and Light...,"₹98,990",4.3,Flipkart
Flipkart,HP Pavilion Eyesafe AMD Ryzen 5 Dual Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin ...,"₹71,999",4.5,Flipkart
Flipkart,HP Pavilion AMD Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 11 Home) 14-ec0036AU Thin and Light Lapto...,"₹68,041",4,Flipkart
Flipkart,HP Pavilion Aero AMD Ryzen 5 Hexa Core 5600U - (16 GB/512 GB SSD/Windows 10 Home) 13-BE0190AU Thin and...,"₹72,899",4.5,Flipkart
Flipkart,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) 15-EG2019T...,"₹71,890",3.6,Flipkart
Flipkart,HP Pavilion Gaming Intel Core i5 11th Gen 11300H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Grap...,"₹71,990",4.4,Flipkart
Flipkart,HP Pavilion Gaming AMD Ryzen 7 Octa Core 4800H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graph...,"₹77,990",4.4,Flipkart
Flipkart,HP Pavilion Aero AMD Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 11 Home) 13-BE2056AU Thin and...,"₹70,545",4.1,Flipkart
Flipkart,HP Pavilion Eyesafe Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) EG2035TU/ 15-EG2...,"₹68,990",4,Flipkart
Flipkart,HP Pavilion Eyesafe Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) EG2036TU Thin an...,"₹73,560",4,Flipkart
Flipkart,HP Pavilion Plus Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 14-eh1022TU Thin an...,"₹70,690",4.2,Flipkart
Flipkart,HP Pavilion AI PC Intel Core Ultra 5 125U - (16 GB/512 GB SSD/Windows 11 Home) 16-af0015TU Thin and Li...,"₹71,000",4.3,Flipkart
